date,temperature_2m,surface_pressure,precipitation,wind_speed_10m
2025-04-09 06:00:00+00:00,4.85,1024.323,0.0,12.599999
2025-04-09 07:00:00+00:00,5.5,1024.9287,0.0,15.119999
2025-04-09 08:00:00+00:00,6.5,1025.4387,0.0,18.0
2025-04-09 09:00:00+00:00,7.85,1025.6538,0.0,17.64
2025-04-09 10:00:00+00:00,8.95,1025.8657,0.0,17.64
2025-04-09 11:00:00+00:00,10.35,1025.9814,0.0,16.56
2025-04-09 12:00:00+00:00,11.85,1025.9982,0.0,15.4800005
2025-04-09 13:00:00+00:00,13.15,1025.5142,0.0,15.84
2025-04-09 14:00:00+00:00,14.2,1025.0277,0.0,16.199999
2025-04-09 15:00:00+00:00,14.8,1024.9343,0.0,18.0
2025-04-09 16:00:00+00:00,14.9,1025.1351,0.0,18.359999
2025-04-09 17:00:00+00:00,14.3,1025.5271,0.0,19.08
2025-04-09 18:00:00+00:00,13.15,1025.913,0.0,18.72
2025-04-09 19:00:00+00:00,11.35,1026.4912,0.0,19.44
2025-04-09 20:00:00+00:00,9.55,1027.2682,0.0,18.72
2025-04-09 21:00:00+00:00,8.4,1028.2521,0.0,15.84
2025-04-09 22:00:00+00:00,7.55,1028.9398,0.0,14.4
2025-04-09 23:00:00+00:00,7.0,1029.0332,0.0,14.04
2025-04-10 00:00:00+00:00,7.0,1029.1329,0.0,13.32
2025-04-10 01:00:00+00:00,7.0,1028.9335,0.0,14.04
2025-04-10 02:00:00+00:00,7.0,1028.9335,0.0,12.24
2025-04-10 03:00:00+00:00,6.65,1029.0293,0.0,13.679999
2025-04-10 04:00:00+00:00,6.7,1029.0297,0.0,10.08
2025-04-10 05:00:00+00:00,6.75,1028.8308,0.0,12.24
2025-04-10 06:00:00+00:00,7.0,1029.0332,0.0,11.159999
2025-04-10 07:00:00+00:00,7.1,1029.2338,0.0,11.5199995
2025-04-10 08:00:00+00:00,7.35,1029.3363,0.0,11.159999
2025-04-10 09:00:00+00:00,8.05,1029.5438,0.0,12.599999
2025-04-10 10:00:00+00:00,8.4,1029.548,0.0,12.24
2025-04-10 11:00:00+00:00,9.35,1029.1599,0.0,9.72
2025-04-10 12:00:00+00:00,10.2,1028.7708,0.0,7.2
2025-04-10 13:00:00+00:00,11.25,1028.2843,0.0,5.04
2025-04-10 14:00:00+00:00,12.65,1027.3032,0.0,7.2
2025-04-10 15:00:00+00:00,13.35,1026.9122,0.0,4.68
2025-04-10 16:00:00+00:00,13.85,1026.4196,0.0,6.4799995
2025-04-10 17:00:00+00:00,14.0,1025.823,0.0,3.96
2025-04-10 18:00:00+00:00,13.75,1025.4213,0.0,6.12
2025-04-10 19:00:00+00:00,12.95,1025.2133,0.0,7.5599995
2025-04-10 20:00:00+00:00,12.2,1025.105,0.0,6.8399997
2025-04-10 21:00:00+00:00,11.35,1024.9958,0.0,5.04
2025-04-10 22:00:00+00:00,10.5,1024.6871,0.0,3.96
2025-04-10 23:00:00+00:00,9.6,1024.1785,0.0,2.8799999
2025-04-11 00:00:00+00:00,9.1,1023.6744,0.0,3.2399998
2025-04-11 01:00:00+00:00,8.35,1023.16754,0.0,3.96
2025-04-11 02:00:00+00:00,7.8,1022.66266,0.0,4.68
2025-04-11 03:00:00+00:00,7.2,1022.1572,0.0,4.68
2025-04-11 04:00:00+00:00,6.85,1021.95386,0.0,4.68
2025-04-11 05:00:00+00:00,6.4,1021.74945,0.0,4.68
2025-04-11 06:00:00+00:00,6.65,1021.6527,0.0,4.68
2025-04-11 07:00:00+00:00,7.15,1021.85785,0.0,4.68
2025-04-11 08:00:00+00:00,7.7,1021.6646,0.0,5.04
2025-04-11 09:00:00+00:00,8.75,1021.4773,0.0,5.3999996
2025-04-11 10:00:00+00:00,10.7,1021.10077,0.0,5.7599998
2025-04-11 11:00:00+00:00,13.15,1020.5298,0.0,6.12
2025-04-11 12:00:00+00:00,15.15,1019.9537,0.0,5.7599998
2025-04-11 13:00:00+00:00,16.35,1019.2689,0.0,4.68
2025-04-11 14:00:00+00:00,17.1,1018.4793,0.0,3.2399998
2025-04-11 15:00:00+00:00,17.6,1017.6872,0.0,1.8
2025-04-11 16:00:00+00:00,17.85,1016.8922,0.0,1.08
2025-04-11 17:00:00+00:00,17.85,1016.19434,0.0,0.71999997
2025-04-11 18:00:00+00:00,17.8,1015.5958,0.0,0.71999997
2025-04-11 19:00:00+00:00,17.8,1015.29675,0.0,1.08
2025-04-11 20:00:00+00:00,17.7,1015.0961,0.0,1.8
2025-04-11 21:00:00+00:00,17.5,1014.8945,0.0,2.8799999
2025-04-11 22:00:00+00:00,17.1,1014.4915,0.0,4.68
2025-04-11 23:00:00+00:00,16.6,1014.08734,0.0,6.4799995
2025-04-12 00:00:00+00:00,15.95,1013.4822,0.0,7.5599995
2025-04-12 01:00:00+00:00,15.05,1012.6752,0.0,6.8399997
2025-04-12 02:00:00+00:00,14.05,1011.6672,0.0,5.04
2025-04-12 03:00:00+00:00,13.2,1010.76074,0.0,3.96
2025-04-12 04:00:00+00:00,12.55,1010.1556,0.0,3.96
2025-04-12 05:00:00+00:00,12.1,1009.75183,0.0,3.96
